,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Savannah St,39.2,39.2,39.2,39.2,39.2,39.2,38.6,38.6,38.8,38.8,38.8,38.8,38.8,39.4,39.4,39.5,39.5,39.5,39.5,39.5,39.2,39.2,39.5,39.5,39.5,39.5,39.5,40.1,40.1,40.1,40.1,39.9,39.9,39.9,39.7,39.7,39.7,39.7,39.7,39.7,39.7,40.0,40.0,39.7,39.7,39.7,39.7,39.7,40.0,40.0,40.5,40.5,40.5,40.5,40.5,41.0,41.0,40.9,40.9
1,Citadel,33.6,33.6,33.6,33.6,33.5,33.5,34.1,34.1,34.1,34.1,34.1,34.7,34.7,34.4,34.4,34.4,34.4,34.4,34.0,34.0,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.8,33.8,33.4,33.4,33.4,33.3,33.3,33.2,33.2,33.2,33.2,33.2,33.3,33.3,33.8,33.8,33.8,33.8,33.8,33.9,33.9,34.0,34.0,34.0,34.0,34.0,34.0,34.3,34.3,34.8,34.8,34.8
2,Belmont,32.1,32.1,32.1,32.1,31.6,31.6,31.8,31.8,31.8,31.8,31.8,31.6,31.6,31.2,31.2,31.2,31.2,31.2,31.1,31.1,31.0,31.0,31.0,31.0,31.0,30.9,30.9,30.6,30.6,30.6,30.6,30.6,30.4,30.4,30.1,30.1,30.1,30.1,30.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.1,30.1,30.3,30.3,30.3,30.3,30.3,30.4,30.4,30.6,30.6,30.6,30.6
3,Wash State,31.0,31.0,31.0,31.0,31.0,31.0,30.7,30.7,30.7,30.7,30.7,30.6,30.6,30.5,30.5,30.5,30.5,30.5,30.7,30.7,30.7,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.1,30.1,30.1,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.9,29.9,29.9,29.8,29.8,29.8,29.8,29.8,29.8,30.2,30.2,30.2,30.2,30.2,29.9,29.9,29.6,29.6,29.6,29.6
4,Davidson,31.0,31.0,31.0,30.4,30.4,30.4,30.4,30.1,30.1,30.1,29.1,29.1,29.1,29.1,28.9,28.9,28.9,28.9,28.9,29.2,29.2,29.2,29.2,28.8,28.8,28.8,28.8,28.8,28.5,28.5,28.5,28.6,28.6,28.6,28.7,28.7,28.7,29.1,29.1,29.1,28.6,28.6,28.6,28.6,28.6,28.5,28.5,28.5,28.2,28.2,28.2,28.2,27.5,27.5,27.5,27.3,27.3,27.3,27.7
5,New Mexico,31.0,31.0,31.0,30.7,30.7,30.7,31.1,31.1,31.1,31.1,30.6,30.6,30.6,30.3,30.3,30.3,30.3,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.2,30.2,30.2,30.2,30.1,30.1,30.1,30.3,30.3,30.3,30.0,30.0,30.0,30.0,29.9,29.9,29.9,29.9,29.8,29.8,29.8,29.8,29.8,29.8,29.7,29.7,29.7,29.7,29.7,29.5,29.5,29.5
6,SC Upstate,30.2,30.2,29.9,29.9,29.9,29.9,29.8,29.8,29.8,29.8,29.8,29.9,29.9,30.1,30.1,30.1,30.1,30.1,29.6,29.6,29.4,29.4,29.4,29.4,28.8,28.8,28.8,28.8,28.8,29.2,29.2,29.2,29.2,29.2,29.0,29.0,29.0,29.0,29.0,29.1,29.1,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.9,29.9,29.9,29.9,29.9,29.6,29.6,29.6,29.6,29.8,29.8
7,Elon,29.9,29.9,30.1,30.1,30.1,29.2,29.2,29.1,29.1,29.1,29.1,29.8,29.8,29.9,29.9,29.9,29.9,29.9,30.1,30.1,30.0,30.0,30.0,30.0,30.0,29.9,29.9,29.7,29.7,29.7,29.7,29.7,29.6,29.6,29.4,29.4,29.4,29.4,29.4,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.5,29.5,29.8,29.8,29.8,29.8,29.8,29.7,29.7,29.5,29.5,29.6,29.6
8,Maryland BC,29.7,29.7,29.7,29.0,29.0,29.0,29.1,29.1,29.1,29.1,28.9,28.9,28.9,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.2,28.2,28.2,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.5,27.5,27.5,27.3,27.3,27.3,27.3,27.3,27.0,27.0,27.0,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.2,26.2,26.2,26.2,26.2,26.2,26.1,26.1,26.1,26.0
9,Marquette,29.4,29.4,29.4,29.1,29.1,29.1,29.2,29.2,29.2,29.1,29.1,29.1,28.7,28.7,28.7,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.4,28.4,28.4,28.4,28.1,28.1,28.1,27.7,27.7,27.7,27.2,27.2,27.2,27.2,26.8,26.8,26.8,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.9,26.9,26.9,26.9,26.8,26.8,26.8,26.8,26.8,26.9,26.9
