,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Wash State,12.1,12.1,12.1,12.1,12.1,12.1,11.8,11.8,11.8,11.8,11.8,11.7,11.7,11.9,11.9,11.9,11.9,11.9,12.1,12.1,12.1,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.6,11.6,11.6,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.1,11.1,11.3,11.3,11.3,11.3,11.3,11.2,11.2,11.2,11.2,11.2,11.2
1,Maryland BC,12.0,12.0,12.0,11.7,11.7,11.7,11.6,11.6,11.6,11.6,11.3,11.3,11.3,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.1,11.1,11.1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.7,10.7,10.7,10.5,10.5,10.5,10.5,10.5,10.4,10.4,10.4,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.0,10.0,10.0,9.8,9.8,9.8,9.9,9.9,9.9,9.9
2,Marquette,11.9,11.9,11.9,12.0,12.0,12.0,11.9,11.9,11.9,11.9,11.9,11.9,11.8,11.8,11.8,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.0,11.0,11.0,10.7,10.7,10.7,10.7,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.9,10.9,10.9,10.8,10.8,11.1,11.1
3,Savannah St,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.5,11.5,11.5,11.5,11.5,11.7,11.7,11.4,11.4,11.4,11.4,11.4,11.3,11.3,11.6,11.6,11.6,11.6,11.6,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.1,12.1,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
4,Belmont,11.5,11.5,11.5,11.5,11.5,11.5,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.3,11.3,11.3,11.3,11.3,11.2,11.2,11.0,11.0,11.0,11.0,11.0,11.1,11.1,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.6,11.6,11.6,11.6
5,Davidson,11.4,11.4,11.4,10.8,10.8,10.8,10.8,10.9,10.9,10.9,10.4,10.4,10.4,10.4,10.7,10.7,10.7,10.7,10.7,10.9,10.9,10.9,10.9,10.8,10.8,10.8,10.8,10.8,10.6,10.6,10.6,10.8,10.8,10.8,11.0,11.0,11.0,11.4,11.4,11.4,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.9,10.9,10.9,10.9,10.7,10.7,10.7,10.6,10.6,10.6,10.8
6,Kansas,11.2,11.2,10.9,10.9,10.9,10.9,10.9,10.9,10.9,11.1,11.1,11.1,11.1,11.0,11.0,10.8,10.8,10.8,10.8,10.8,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.7,10.7,10.6,10.6,10.6,10.6,10.6,10.5,10.5,10.5,10.3,10.3,10.3,10.3,10.2,10.2,10.2,10.1,10.1,10.1,10.1,10.0,10.0,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.1,10.1
7,Colgate,11.2,11.2,10.8,10.8,10.8,10.5,10.5,10.5,10.6,10.6,10.6,10.3,10.3,10.3,10.3,10.1,10.1,10.2,10.2,10.2,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.8,9.8,9.8,9.8,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.8,9.8,9.8,9.8,9.8,9.7,9.7,9.9,9.9,9.9,9.9,9.8,9.8,9.8,9.7,9.7,9.7,9.6,9.6,9.6,9.6
8,Oklahoma,11.2,11.2,11.2,11.5,11.5,11.5,11.1,11.1,11.1,10.9,10.9,10.9,10.9,11.4,11.4,11.4,11.1,11.1,11.1,11.1,11.1,11.1,11.1,10.9,10.9,10.9,10.9,10.8,10.8,10.8,10.9,10.9,10.9,10.9,10.5,10.5,10.3,10.3,10.3,10.3,10.3,10.1,10.1,10.1,10.0,10.0,10.0,10.0,9.9,9.9,9.7,9.7,9.7,9.7,9.7,9.8,9.8,9.8,9.7
9,Villanova,11.1,11.1,11.1,11.1,11.1,11.1,11.0,11.0,11.0,11.0,11.1,11.1,11.1,11.2,11.2,11.2,11.2,11.5,11.5,11.5,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.5,11.5,11.5,11.5,11.9,11.9,11.9,11.9,11.9,11.9,11.7,11.7,11.7,11.5,11.5,11.5,11.5,11.2,11.2,11.2,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
