,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Duke,35.1,35.1,35.1,35.1,35.1,35.1,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.2,34.2,34.0,34.0,34.0,34.0,34.0,33.7,33.7,33.7,33.2,33.2,33.2,33.2,33.0,33.0,32.9,32.9,32.9,32.9,32.9,32.5,32.5,32.5,32.5,32.5,32.4,32.4,32.4,32.2,32.2,32.2,31.9,31.9,31.9,31.9,31.4,31.4,31.4,31.4,31.4,31.4,31.0,31.0,30.7,30.7
1,Kansas,33.8,33.8,33.2,33.2,33.2,33.2,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.2,32.2,31.9,31.9,31.9,31.9,31.9,31.3,31.3,31.3,31.4,31.4,31.4,31.4,31.3,31.3,30.8,30.8,30.8,30.8,30.8,30.7,30.7,30.7,30.4,30.4,30.4,30.4,30.2,30.2,30.2,30.2,30.2,30.2,30.2,29.9,29.9,30.2,30.2,30.2,30.2,30.2,30.1,30.1,30.2,30.2
2,Oklahoma,33.4,33.4,33.4,33.5,33.5,33.5,32.9,32.9,32.9,32.4,32.4,32.4,32.4,32.6,32.6,32.6,32.2,32.2,32.2,32.2,31.9,31.9,31.9,31.7,31.7,31.7,31.7,31.6,31.6,31.6,31.5,31.5,31.5,31.5,31.5,31.5,31.3,31.3,31.3,31.3,31.3,31.1,31.1,31.1,30.9,30.9,30.9,30.9,30.5,30.5,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.1
3,Creighton,33.1,33.1,33.1,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.3,32.3,32.3,32.3,32.3,32.3,32.3,31.9,31.9,31.9,31.5,31.5,31.5,31.5,31.3,31.3,31.3,31.3,31.3,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.9,30.9,30.9,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
4,Arkansas,32.5,32.5,32.4,32.4,32.4,32.4,32.3,32.3,32.3,32.3,31.4,31.4,31.4,30.9,30.9,30.9,30.9,30.8,30.8,30.8,30.7,30.7,30.7,30.6,30.6,30.6,30.6,30.3,30.3,30.3,30.1,30.1,30.1,30.1,30.2,30.2,30.2,30.0,30.0,30.0,30.0,29.9,29.9,29.9,29.7,29.7,29.7,29.7,29.9,29.9,29.9,29.8,29.8,29.8,29.8,29.7,29.7,29.7,29.7
5,Gonzaga,32.1,32.1,32.1,32.1,32.2,32.2,32.4,32.4,32.4,32.4,32.4,32.8,32.8,32.6,32.6,32.6,32.6,32.6,32.4,32.4,32.2,32.2,32.2,32.2,32.2,32.4,32.4,32.2,32.2,32.2,32.2,32.2,31.9,31.9,31.7,31.7,31.7,31.7,31.7,31.3,31.3,31.4,31.4,31.4,31.4,31.4,31.2,31.2,31.1,31.1,31.1,31.1,31.1,30.9,30.9,30.9,30.9,30.9,30.9
6,UNLV,32.0,32.0,32.0,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.3,31.3,31.3,31.1,31.1,31.1,30.8,30.8,30.8,30.8,31.0,31.0,31.0,31.0,30.9,30.9,30.9,30.9,30.9,30.9,30.9,31.0,31.0,31.0,30.9,30.9,30.9,30.9,30.7,30.7,30.7,30.3,30.3,30.3,30.3,29.9,29.9,29.9,29.9,29.8,29.8,29.8
7,Michigan St,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.3,31.3,31.3,30.7,30.7,30.7,30.2,30.2,30.2,30.2,30.2,30.2,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.1,30.1,29.9,29.9,29.9,29.7,29.7,29.7,29.4,29.4,29.4,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.6,29.6,29.6,29.6,29.2,29.2,29.2,29.1,29.1,29.1,29.1,29.1,28.9,28.9,28.9
8,TX Christian,31.5,31.5,31.3,31.3,31.3,31.3,31.0,31.0,31.0,31.0,31.2,31.2,31.2,31.6,31.6,31.6,31.6,31.9,31.9,31.9,31.5,31.5,31.2,31.2,31.2,31.2,31.2,31.4,31.4,31.4,31.3,31.3,31.3,31.3,31.0,31.0,31.0,30.7,30.7,30.7,30.7,30.8,30.8,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.7,30.7,30.7,30.6,30.6,30.6,30.3
9,Villanova,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.6,31.6,31.6,31.1,31.1,31.1,31.1,31.2,31.2,31.2,31.0,31.0,31.0,31.1,31.1,31.1,31.1,31.1,31.0,31.0,31.0,31.0,31.3,31.3,31.3,31.3,31.3,31.3,31.2,31.2,31.2,31.1,31.1,31.1,31.1,30.9,30.9,30.9,31.2,31.2,31.2,31.2,31.3,31.3,31.3,31.2,31.2,31.2,31.2
