,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Notre Dame,13.2,13.2,13.2,13.2,13.2,13.2,12.9,12.9,12.9,12.9,12.8,12.8,12.8,12.9,12.9,12.9,13.1,13.1,13.1,13.1,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.2,13.2,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.2,13.2,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
1,Geo Wshgtn,13.7,13.7,13.7,13.5,13.5,13.5,13.8,13.8,13.8,13.8,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.0,14.0,14.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.8,14.8,14.8,14.8
2,Elon,13.8,13.8,13.5,13.5,13.5,13.4,13.4,13.8,13.8,13.8,13.8,14.0,14.0,13.9,13.9,13.9,13.9,13.9,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.5,14.5,14.5,14.5,14.5,14.8,14.8,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.1,15.1,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.2,15.4,15.4
3,Michigan,14.3,14.3,14.3,14.3,14.3,14.3,14.5,14.5,14.5,14.2,14.2,14.2,14.2,14.8,14.8,14.8,14.8,14.8,15.1,15.1,15.1,15.0,15.0,15.0,15.0,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.4,15.4,15.4,15.4
4,Virginia,14.6,14.6,14.6,14.9,14.9,14.9,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.2,14.2,14.2,14.2,14.1,14.1,14.1,13.9,13.9,13.8,13.8,13.8,13.8,14.0,14.0,14.0,14.0,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.8,13.8,13.8,13.7,13.7,13.7,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.7,13.7,13.7,13.6,13.6,13.6,13.6
5,Kansas,14.7,14.7,15.0,15.0,15.0,15.0,15.3,15.3,15.3,15.1,15.1,15.1,15.1,15.2,15.2,15.1,15.1,15.1,15.1,15.1,15.3,15.3,15.3,15.5,15.5,15.5,15.5,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.4,15.4,15.4,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.5,15.5,15.5,15.5,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.5,15.5,15.3,15.3
6,Loyola-Chi,15.0,15.0,15.0,14.6,14.6,14.6,14.6,14.7,14.7,14.7,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.5,14.5,14.5,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.4,14.4,14.4,14.4
7,S Mississippi,15.0,15.0,15.0,15.0,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.8,14.8,14.7,14.7,14.7,14.7,14.7,14.5,14.5,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.9,14.9,14.9,14.9,14.9,15.3,15.3,15.6,15.6,15.6,15.6,15.6,15.4,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.2,15.2,15.3,15.3,15.3,15.3
8,W Illinois,15.0,15.0,15.0,15.9,15.9,15.9,15.7,15.7,15.7,15.7,15.7,15.8,15.8,15.8,15.8,15.8,15.8,16.2,16.2,16.2,16.1,16.1,16.1,16.1,16.1,16.2,16.2,16.1,16.1,16.1,16.1,16.1,16.2,16.2,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.3,16.3,16.2,16.2,16.2,16.2
9,Central FL,15.1,15.1,15.1,15.0,15.0,15.0,15.0,14.8,14.8,14.8,14.9,14.9,14.9,14.9,14.9,14.9,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.1,15.1,15.1,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.1,15.1,15.1,15.2,15.2,15.2,15.2,15.4,15.4,15.4,15.4,15.2,15.2,15.2
