,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Grd Canyon,11.6,11.6,11.6,11.6,11.6,11.6,11.8,11.8,11.8,11.8,11.8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.7,12.7,12.7,12.7,12.7,13.0,13.0,12.8,12.8,12.8,12.8,12.8,13.1,13.1,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.7,12.7,12.7,12.7,12.7,13.2,13.2,13.1,13.1,13.1,13.1
1,San Diego,12.5,12.5,12.5,12.5,11.8,11.8,11.2,11.2,11.2,11.2,11.2,11.4,11.4,12.7,12.7,12.7,12.7,12.7,12.8,12.8,13.3,13.3,13.3,13.3,13.3,13.1,13.1,13.4,13.4,13.4,13.4,13.4,13.6,13.6,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.4,13.4,13.4,13.4,13.4,13.8,13.8,13.7,13.7,13.7,13.7,13.7,14.0,14.0,14.3,14.3,14.3,14.3
2,Northeastrn,13.8,13.8,13.4,13.4,13.4,13.9,13.9,14.2,14.2,14.2,14.2,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.6,14.6,14.4,14.4,14.4,14.4,14.4,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.6,14.6,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.1,14.1,14.3,14.3,14.3,14.3
3,Rhode Island,14.0,14.0,14.0,13.8,13.8,13.8,13.7,13.7,13.7,13.0,13.0,13.0,13.0,13.1,13.1,13.1,13.1,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.1,13.1,13.1,13.1,13.1,13.1,13.7,13.7,13.7,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.9
4,Duquesne,14.4,14.4,14.4,14.0,14.0,14.0,14.4,14.4,14.4,14.8,14.8,14.8,14.8,15.2,15.2,15.2,15.2,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.9,14.9,14.9,14.9,15.1,15.1,15.1,15.9,15.9,15.9,15.9,16.2,16.2,16.2,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.9,16.9,16.9,16.9,16.5,16.5,16.5,16.9,16.9,16.9,16.9
5,N Colorado,14.5,14.5,14.5,14.5,15.5,15.5,15.0,15.0,15.0,15.0,15.0,14.6,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.6,14.6,14.6,14.6,14.6,14.5,14.5,14.3,14.3,14.3,14.3,14.3,14.0,14.0,14.3,14.3,14.3,14.3,14.3,14.3,14.3,13.7,13.7,13.7,13.7
6,St Fran (NY),15.5,15.5,15.5,15.5,15.5,15.5,15.6,15.6,15.6,15.6,15.6,15.4,15.4,15.9,15.9,15.9,15.9,15.9,16.9,16.9,17.3,17.3,17.3,17.3,17.3,17.2,17.2,17.9,17.9,17.9,17.9,17.9,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.2,17.2,17.6,17.6,17.6,17.6,17.6,17.5,17.5,17.3,17.3,17.3,17.3,17.3,17.4,17.4,17.6,17.6,17.6,17.6
7,Montana,15.8,15.8,15.8,15.8,16.4,16.4,18.2,18.2,18.2,18.2,18.2,18.4,18.4,18.2,18.2,18.2,18.2,18.2,18.2,18.2,17.6,17.6,17.6,17.6,17.6,16.8,16.8,17.1,17.1,17.1,17.1,17.1,17.4,17.4,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.3,17.3,17.3,17.3,17.3,17.5,17.5,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2
8,St Marys,16.0,16.0,16.0,16.0,15.8,15.8,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.5,15.5,15.5,15.5,15.5,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.8,15.8,16.0,16.0,16.0,16.0,16.0,16.1,16.1,16.4,16.4,16.4,16.4,16.4,16.3,16.3,16.4,16.4,16.4,16.4,16.4,16.5,16.5,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.2,16.2,16.2,16.2
9,Rob Morris,16.0,16.0,16.0,16.0,16.9,16.9,17.1,17.1,17.1,17.1,17.1,17.3,17.3,17.1,17.1,17.1,17.1,17.1,16.5,16.5,16.7,16.7,16.7,16.7,16.7,16.7,16.5,16.5,16.8,16.8,16.8,16.8,17.4,17.4,17.8,17.8,17.8,17.8,17.8,18.8,18.8,19.0,19.0,19.0,19.0,19.0,18.8,18.8,18.5,18.5,18.5,18.5,18.5,18.8,18.8,18.9,18.9,18.9,18.9
