,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Michigan St,30.2,30.2,30.2,30.2,29.9,29.9,29.9,29.6,29.6,29.6,29.6,29.6,29.6,29.3,29.3,29.3,29.3,29.3,29.3,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.2,29.2,29.0,29.0,29.0,29.2,29.2,29.2,28.9,28.9,28.9,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.0,29.0,29.0,29.0,28.9,28.9,28.9,29.0,29.0,29.0,29.0,29.0,28.9,28.9,28.9
1,Texas A&M,30.2,30.2,29.8,29.8,29.8,29.8,29.6,29.6,29.6,28.8,28.8,28.8,28.8,28.3,28.3,28.3,27.8,27.8,27.8,27.8,28.2,28.2,28.2,28.3,28.3,28.3,28.3,28.1,28.1,28.1,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.6,27.6,27.6,27.6,27.6,27.6,27.7,27.7,27.7,27.7,27.4,27.4,27.4,27.1,27.1,27.1,27.1,27.0,27.0,27.0,27.0
2,N Carolina,29.9,29.9,29.9,29.5,29.5,29.5,29.1,29.1,29.1,29.4,29.4,29.4,29.4,29.1,29.1,29.1,28.7,28.7,28.7,28.7,28.6,28.6,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.1,28.1,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.6,27.6,27.6,27.6,27.6,27.6,27.3
3,Creighton,29.6,29.6,29.6,29.9,29.9,29.9,29.8,29.8,29.8,29.6,29.6,29.6,29.6,29.3,29.3,29.3,29.3,29.4,29.4,29.4,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.5,28.5,28.5,28.5,28.5,28.2,28.2,28.2,28.2,28.2,28.2,28.0,28.0,28.0,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.2,27.2,27.2,27.0,27.0,27.0,27.0,27.2,27.2,27.2,27.2
4,Wichita St,29.5,29.5,29.5,29.5,29.2,29.2,29.2,28.9,28.9,28.9,28.9,28.9,28.9,28.6,28.6,28.6,28.6,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,28.1,28.1,28.1,28.0,28.0,28.0,28.0,28.2,28.2,28.2,28.2,28.2,28.1,28.1,28.1,28.1,27.9,27.9,27.9,27.9,27.9,27.7,27.7,27.7,27.2,27.2,27.2,27.0,27.0,27.0,26.8,26.8,26.8,26.8
5,Boise State,29.2,29.2,29.2,29.6,29.6,29.6,29.8,29.8,29.8,29.9,29.9,29.9,29.9,29.3,29.3,29.3,29.3,28.8,28.8,28.8,28.6,28.6,28.6,28.6,28.2,28.2,28.2,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.3,27.3,27.3,27.3,27.3,27.3,27.2
6,Xavier,28.7,28.7,29.0,29.0,29.0,29.0,28.8,28.8,28.8,28.8,28.4,28.4,28.4,28.2,28.2,28.2,28.2,28.2,28.2,28.2,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.6,27.6,27.6,27.4,27.4,27.4,27.4,27.3,27.3,27.3,27.3,27.3,27.3,27.3
7,Georgetown,28.5,28.5,28.2,28.2,28.2,28.2,28.3,28.3,28.3,28.1,28.1,28.1,28.1,27.8,27.8,27.8,27.8,27.1,27.1,27.1,27.3,27.3,27.3,27.3,27.1,27.1,27.1,26.9,26.9,26.9,26.9,26.9,26.9,26.9,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.0,27.0,27.0,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.7,26.7,26.7,26.9,26.9,26.6,26.6
8,UCLA,28.4,28.4,28.4,28.4,28.3,28.3,28.2,28.2,28.2,28.2,28.2,27.9,27.9,27.7,27.7,27.7,27.7,27.7,27.5,27.5,27.2,27.2,27.2,27.2,27.2,27.1,27.1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.9,26.9,26.9,26.9,26.9,26.8,26.8,26.9,26.9,26.9,26.9,26.9,27.1,27.1,27.3,27.3,27.3,27.3,27.3,27.1,27.1,27.1,27.2,27.2,27.2
9,Duke,28.4,28.4,28.4,28.4,28.4,28.4,27.7,27.7,27.7,27.7,27.4,27.4,27.4,27.9,27.9,28.3,28.3,28.3,28.3,28.3,27.9,27.9,27.9,27.6,27.6,27.6,27.6,27.8,27.8,27.7,27.7,27.7,27.7,27.7,27.3,27.3,27.3,27.3,27.3,27.2,27.2,27.2,27.2,27.2,27.2,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.2,27.2,27.2,27.2,27.2,27.1,27.1
