,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Arizona St,28.213,28.213,28.213,28.213,27.716,27.716,27.716,27.780,27.780,27.780,27.780,28.055,28.055,27.774,27.774,27.774,27.774,27.465,27.465,27.465,26.964,26.964,26.964,26.964,26.964,26.360,26.360,26.108,26.108,26.108,26.108,26.108,25.656,25.656,25.656,25.264,25.264,25.264,25.264,25.303,25.303,25.583,25.583,25.583,25.583,25.583,24.977,24.977,24.977,24.977,24.977,24.977,24.977,24.901,24.901,24.934,24.934,24.934,24.934
1,CS Fullerton,28.076,28.076,28.076,27.197,27.197,27.197,27.488,27.488,27.488,27.488,27.488,27.884,27.884,27.706,27.706,27.706,27.706,27.407,27.407,27.407,26.495,26.495,26.495,26.495,26.495,26.317,26.317,26.317,25.586,25.586,25.586,25.586,25.586,25.586,25.399,25.399,25.399,25.399,25.399,25.270,25.270,25.114,25.114,25.114,25.114,25.114,25.114,25.114,25.329,25.329,25.329,25.329,25.137,25.137,25.137,24.969,24.969,24.969,24.969
2,St Bonavent,27.292,27.292,27.292,26.601,26.601,26.601,26.450,26.450,26.450,26.450,25.911,25.911,25.911,26.129,26.129,26.129,26.129,26.129,26.129,25.841,25.841,25.841,25.841,25.841,25.245,25.245,25.245,25.245,24.419,24.419,24.419,24.187,24.187,24.187,23.846,23.846,23.846,23.846,23.741,23.741,23.741,23.832,23.832,23.832,23.413,23.413,23.413,23.603,23.603,23.603,23.603,23.603,24.231,24.231,24.231,24.098,24.098,24.098,24.646
3,Xavier,26.695,26.695,27.003,27.003,27.003,27.003,26.338,26.338,26.338,26.338,25.956,25.956,25.956,25.427,25.427,25.427,25.427,25.041,25.041,25.041,24.788,24.788,24.788,24.788,24.396,24.396,24.396,24.396,24.396,24.396,24.349,24.349,24.349,24.349,24.978,24.978,24.978,25.248,25.248,25.248,25.248,24.675,24.675,24.675,24.675,25.094,25.094,25.094,25.134,25.134,25.134,25.134,24.916,24.916,24.916,24.916,24.916,24.916,24.916
4,California,25.565,25.565,25.565,25.565,24.606,24.606,24.357,24.357,24.357,24.357,24.357,23.540,23.540,22.844,22.844,22.844,22.844,23.231,23.231,23.231,22.872,22.872,22.872,22.872,22.872,22.468,22.468,22.468,22.150,22.150,22.150,22.150,21.806,21.806,22.643,22.643,22.643,22.643,22.612,22.612,22.612,22.180,22.180,22.180,22.180,22.180,22.180,22.180,22.180,22.262,22.262,22.262,22.262,21.974,21.974,21.766,21.766,21.766,21.766
5,Georgetown,25.377,25.377,26.433,26.433,26.433,26.433,25.882,25.882,25.882,25.991,25.991,25.991,25.991,25.135,25.135,25.135,25.135,24.449,24.449,24.449,24.658,24.658,24.658,24.658,24.279,24.279,24.279,24.182,24.182,24.182,24.182,24.182,24.182,24.182,23.843,23.843,23.843,23.717,23.717,23.717,23.717,23.458,23.458,23.458,23.527,23.527,23.527,23.527,23.527,23.527,23.527,23.527,23.145,23.145,23.145,22.904,22.904,23.201,23.201
6,Georgia,24.909,24.909,24.909,24.788,24.788,24.788,24.661,24.661,24.661,24.661,23.640,23.640,23.640,23.770,23.770,23.770,23.331,23.331,23.331,23.331,23.564,23.564,23.564,23.767,23.767,23.767,23.767,23.363,23.363,23.363,23.588,23.588,23.588,23.588,23.146,23.146,23.146,23.146,22.919,22.919,22.919,22.618,22.618,22.618,22.618,22.727,22.727,22.727,23.375,23.375,23.375,23.375,23.037,23.037,23.037,23.484,23.484,23.484,23.484
7,UNLV,24.826,24.826,24.826,25.726,25.274,25.274,24.649,24.649,24.649,24.649,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.454,24.454,24.454,24.413,24.413,24.413,23.996,23.996,23.996,23.996,23.866,23.866,23.866,23.866,23.704,23.704,23.704,23.879,23.879,23.879,23.879,23.701,23.701,23.701,23.768,23.768,23.768,23.768,23.995,23.995,23.995,23.591,23.591,23.591,23.591,24.040,24.040,24.040,24.040,24.472,24.472,24.472
8,VA Tech,24.700,24.700,24.700,24.627,24.627,24.627,24.638,24.638,24.638,24.638,24.254,24.254,24.254,24.170,24.170,24.170,24.170,24.170,24.170,24.170,23.469,23.469,22.918,22.918,22.918,22.918,22.918,22.432,22.432,22.432,22.432,22.134,22.134,22.134,21.740,21.740,21.740,21.740,21.745,21.745,21.745,21.356,21.356,21.356,21.356,20.858,20.858,20.858,20.799,20.799,20.799,20.799,20.919,20.919,20.919,20.709,20.709,20.761,20.761
9,Oregon St,24.662,24.662,24.662,24.662,24.662,24.399,24.399,24.399,24.399,24.399,24.399,23.238,23.238,22.381,22.381,22.381,22.381,22.381,22.486,22.486,22.797,22.797,22.797,22.797,22.797,22.797,22.797,22.611,22.611,22.611,22.611,22.611,22.653,22.653,23.012,23.012,23.012,23.012,23.012,23.262,23.262,22.533,22.533,22.533,22.533,22.533,22.300,22.300,21.948,21.948,21.948,21.948,21.948,21.867,21.867,22.010,22.010,22.010,22.010
