,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
0,Virginia,23.7,23.7,23.7,24.1,24.1,24.1,23.6,23.6,23.6,24.2,24.2,24.2,24.2,24.2,25.3,25.3,25.3,25.3,25.2,25.2,25.2,25.3,25.3,25.2,25.2,25.2,25.2,26.2,26.2,26.2,26.2,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.4,26.4,26.4,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.5,26.5,26.5,25.9,25.9,25.9,25.9
1,Georgia St,24.8,24.8,24.8,24.8,25.3,25.3,25.9,25.9,25.9,25.9,25.9,25.8,25.8,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.7,25.7,25.7,25.7,25.7,25.9,25.9,26.4,26.4,26.4,26.4,26.4,26.9,26.9,26.5,26.5,26.5,26.5,26.5,27.0,27.0,27.2,27.2,27.2,27.2,27.2,27.2,27.4,27.4,27.4,27.4,27.4,27.4,26.7,26.7,26.6,26.6,26.6,26.6
2,Syracuse,25.3,25.3,25.3,25.7,25.7,25.7,25.6,25.6,25.6,25.4,25.4,25.4,25.4,26.4,26.4,26.4,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.4,25.4,25.4,25.0,25.0,25.0,25.0,25.4,25.4,25.4,25.7,25.7,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.5,26.5,26.5,26.5,26.5,26.5,26.5,27.1,27.1,27.1,27.5,27.5,27.5,27.5
3,Texas Tech,25.4,25.4,26.3,26.3,26.3,26.3,26.7,26.7,26.7,27.2,27.2,27.2,27.2,27.1,27.1,27.1,27.1,27.4,27.4,27.4,28.0,28.0,28.0,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.8,28.8,28.8,28.8,29.1,29.1,29.1,28.7,28.7,28.7,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.0,29.0,29.0,29.0,29.0,29.3,29.3
4,Michigan St,25.5,25.5,25.5,25.5,25.4,25.4,25.4,26.7,26.7,26.7,27.7,27.7,27.7,28.1,28.1,28.1,28.1,28.1,28.1,27.9,27.9,27.9,28.5,28.5,28.5,28.5,28.6,28.6,28.9,28.9,28.9,29.2,29.2,29.2,29.3,29.3,29.3,30.2,30.2,30.2,30.2,30.6,30.6,30.6,30.3,30.3,30.3,30.3,30.1,30.1,30.1,29.8,29.8,29.8,29.8,29.8,29.9,29.9,29.9
5,Old Dominion,25.5,25.5,25.5,25.5,25.3,25.3,25.1,25.1,25.1,25.1,25.1,25.6,25.6,25.9,25.9,25.9,25.9,25.9,25.8,25.8,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.8,26.8,27.2,27.2,27.2,27.2,27.2,27.7,27.7,27.5,27.5,27.5,27.5,27.5,27.3,27.3,27.2,27.2,27.2,27.2,27.2,27.9,27.9,29.0,29.0,29.0,29.0
6,Kansas St,26.0,27.9,27.9,27.9,27.9,27.9,28.4,28.4,28.4,28.4,29.5,29.5,29.5,29.4,29.4,29.4,29.9,29.9,29.9,29.9,30.0,30.0,30.7,30.7,30.7,30.7,30.7,31.0,31.0,30.6,30.6,30.6,30.6,30.6,30.9,30.9,30.9,30.9,30.9,30.9,30.9,31.0,31.0,31.0,31.0,31.5,31.5,31.5,31.6,31.6,31.6,31.6,31.5,31.5,31.5,31.7,31.7,31.7,31.8
7,S Methodist,26.7,26.7,26.7,26.7,27.1,27.1,27.1,27.4,27.4,27.4,27.6,27.6,27.6,27.6,27.6,27.6,27.6,28.1,28.1,28.1,27.5,27.5,27.5,27.5,27.5,27.3,27.3,27.3,27.5,27.5,27.5,27.5,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.2,27.2,27.2,28.0,28.0,28.0,28.2,28.2,28.2,27.9,27.9,27.9,27.9,27.8,27.8,27.8,27.9,27.9,27.9,27.9
8,Cincinnati,27.0,27.0,27.0,27.0,26.8,26.8,26.8,26.6,26.6,26.6,26.6,26.6,26.6,26.4,26.4,26.4,26.0,26.0,26.0,26.0,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.6,26.6,26.6,26.6,27.0,27.0,27.0,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.2,27.2,27.2,27.2,27.5,27.5,27.5,27.9,27.9,27.9,27.9,27.7,27.7,27.7,27.7,27.7,27.7
9,Charl South,27.3,27.3,26.2,26.2,26.2,26.2,27.3,27.3,27.3,26.7,26.7,26.7,26.0,26.0,26.0,26.4,26.4,26.4,26.4,26.4,26.4,26.9,26.9,26.9,26.9,26.9,26.9,27.2,27.2,27.2,27.2,27.2,27.8,27.8,28.2,28.2,28.2,28.2,27.9,27.9,27.9,27.4,27.4,27.4,27.4,27.4,27.5,27.5,27.5,27.7,27.7,27.7,27.7,27.8,27.8,28.5,28.5,28.5,28.5
